ISO_A3	Nation	"Containers full 20'"	"Containers full 40'"	"Containers empty 20'"	"Containers empty 40'"	TEUS	"Containerised Cargo"	"Conventional Cargo"	"Solid Bulk"	"Liquid Bulk"	TOTAL
ESP	Spain	0.0001463898	0.0002113707	0.0001580658	0.0000449620	0.0006301773	0.0094752740	0.0034643519	0.0021922995	0.0011393378	0.0162712631
LKA	"Sri Lanka"	0.0000263085	0.0000269592	0.0000000000	0.0000071581	0.0000945431	0.0009983374	0.0000000000	0.0000000000	0.0000000000	0.0009983374
VCT	"Saint Vincent"	0.0000095954	0.0000287861	0.0000000000	0.0000000000	0.0000671675	0.0006677413	0.0000000000	0.0000000000	0.0000000000	0.0006677413
SDN	Sudan	0.0000035714	0.0000093429	0.0000000000	0.0000000000	0.0000222571	0.0001834543	0.0000184857	0.0000000000	0.0000000000	0.0002019400
SUR	Suriname	0.0000182619	0.0000060873	0.0000000000	0.0000000000	0.0000304365	0.0004483299	0.0000000000	0.0000000000	0.0000000000	0.0004483299
SYR	Syria	0.0000082439	0.0000093702	0.0000000000	0.0000000000	0.0000269843	0.0003936155	0.0000263158	0.0000904131	0.0000000000	0.0005103443
TWN	Taiwan	0.0001261008	0.0001377194	0.0000031886	0.0000007862	0.0003650240	0.0051086756	0.0000000000	0.0000000000	0.0000000000	0.0051086756
TZA	Tanzania	0.0000189054	0.0000104552	0.0000000000	0.0000000477	0.0000399113	0.0005727881	0.0000954331	0.0000000000	0.0000000000	0.0006682212
THA	Thailand	0.0000098376	0.0000051126	0.0000000298	0.0000000000	0.0000200926	0.0002994387	0.0000157402	0.0000000000	0.0000000000	0.0003151788
TGO	Togo	0.0000147254	0.0000274774	0.0000000000	0.0000000000	0.0000696802	0.0008196241	0.0019930080	0.0000000000	0.0000000000	0.0028126321
TON	Tonga	0.0000000000	0.0000081579	0.0000000000	0.0000000000	0.0000163159	0.0000920215	0.0000000000	0.0000000000	0.0000000000	0.0000920215
TTO	"Trinidad and Tobago"	0.0000301133	0.0000244162	0.0000000000	0.0000000000	0.0000789458	0.0010653777	0.0000000000	0.0000000000	0.0000000000	0.0010653777
TUN	Tunisia	0.0004753034	0.0004579270	0.0000004722	0.0000027387	0.0013971069	0.0194056356	0.0559152519	0.0000000000	0.0033014371	0.0786223245
TUR	Turkey	0.0000794045	0.0001502877	0.0000269523	0.0000024035	0.0003999402	0.0049202777	0.0003479943	0.0001313812	0.0004515056	0.0058511589
UKR	Ukraine	0.0000003083	0.0000008808	0.0000000000	0.0000000000	0.0000020698	0.0000237683	0.0000000000	0.0000000000	0.0000682585	0.0000920268
ARE	"United Arab Emirates"	0.0023703707	0.0022646547	0.0000353727	0.0000072353	0.0116054508	0.1325185380	0.0027940710	0.0000000000	0.0138891987	0.1492018077
USA	"United States"	0.0000624305	0.0001493491	0.0000001515	0.0000009541	0.0004411106	0.0050782058	0.0000053803	0.0000000000	0.0000000000	0.0050835861
URY	Uruguay	0.0002459016	0.0002985332	0.0000023008	0.0000382514	0.0009217716	0.0094320880	0.0000515933	0.0000000000	0.0000000000	0.0094836813
VIR	"Virgin Islands. U.S."	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0045350848	0.0000000000	0.0000000000	0.0045350848
VEN	Venezuela	0.0000445208	0.0000654955	0.0000044815	0.0000000000	0.0001799933	0.0019654014	0.0000672988	0.0002987890	0.0000000000	0.0023314891
VNM	Vietnam	0.0000072568	0.0000048007	0.0000000000	0.0000000000	0.0000168581	0.0002568811	0.0000025120	0.0000000000	0.0000000000	0.0002593931
YEM	Yemen	0.0000108106	0.0000089379	0.0000000000	0.0000000000	0.0000286865	0.0004712028	0.0000000000	0.0000000000	0.0000000000	0.0004712028
COD	Zaire	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000020600	0.0000000000	0.0000000000	0.0000020600
ZWE	Zimbabwe	0.0000001716	0.0000000000	0.0000000000	0.0000000000	0.0000001716	0.0000027764	0.0000000000	0.0000000000	0.0000000000	0.0000027764
