ISO_A3	Nation	"Containers full 20'"	"Containers full 40'"	"Containers empty 20'"	"Containers empty 40'"	TEUS	"Containerised Cargo"	"Conventional Cargo"	"Solid Bulk"	"Liquid Bulk"	TOTAL
IND	India	5518	6741	20	53	19126	236268.85	4716	0	1500	242484.85
IDN	Indonesia	1038	730	1	6	2511	39161.17	2255	0	0	41416.17
IRN	Iran	1472	2684	1	4	6849	73471.8	2812.1	0	0	76283.9
IRQ	Iraq	139	156	0	0	451	4790.57	115	0	0	4905.57
IRL	Ireland	1	0	0	0	1	11.64	0	0	0	11.64
ISR	Israel	4827	5963	182	131	7891	208343.24	0	0	41112	249455.24
ITA	Italy	7053	7200	3416	1711	26914	299959.66	2850341.24	32834	742679	3925813.9
CIV	"Ivory Coast"	1439	1156	3	7	6972	79237.85	4036.03	0	0	83273.88
JAM	Jamaica	748	1483	126	0	3840	47641.69	0	0	0	47641.69
JPN	Japan	3229	3600	42	13	6033	124423.88	126	0	0	124549.88
JOR	Jordan	2305	1649	0	0	5603	73047.99	3317.16	0	0	76365.15
