ISO_A3	Nation	"Containers full 20'"	"Containers	full	40'"	"Containers empty 20'"	"Containers empty 40'"	TEUS	"Containerised Cargo"	"Conventional Cargo"	"Solid Bulk"	"Liquid Bulk"	TOTAL
CIV	"Ivory Coast"	0.0000777822	0.0000699470	0.0000276844	0.0000645336	0.0003744278	0.0040004529	0.0000181197	0.0000000000	0.0000000000	0.0040185727
JAM	Jamaica	0.0001626141	0.0003628085	0.0001871994	0.0011716643	0.0034187590	0.0184253373	0.0000000000	0.0000000000	0.0000000000	0.0184253373
JPN	Japan	0.0000035431	0.0000041716	0.0000000000	0.0000000000	0.0000118864	0.0001038698	0.0001015161	0.0000000000	0.0000000000	0.0002053859
JOR	Jordan	0.0000020290	0.0000012486	0.0000009365	0.0000073356	0.0000201340	0.0000998473	0.0000018729	0.0000000000	0.0000000000	0.0001017202
KEN	Kenya	0.0000633263	0.0000043200	0.0000078908	0.0000207259	0.0001213088	0.0011703353	0.0000161272	0.0000000000	0.0000000000	0.0011864625
LBN	Lebanon	0.0000635113	0.0000176959	0.0003682204	0.0001963519	0.0008598273	0.0028898197	0.0000932841	0.0000000000	0.0000000000	0.0029831038
LBY	Libya	0.0000136192	0.0000075834	0.0004321009	0.0003791716	0.0012192302	0.0031084288	0.0003306237	0.0000000000	0.3841203543	0.3875594069
MYS	Malaysia	0.0003184469	0.0002733183	0.0000066490	0.0000603012	0.0009923349	0.0107521154	0.0000000000	0.0000000000	0.0048145112	0.0155666267
MLT	Malta	0.0148957816	0.0092307692	0.0059081886	0.0240421836	0.0873498759	0.6114625062	0.0040800993	0.0000000000	0.5000198511	1.1155624566
MTQ	Martinique	0.0005105105	0.0000254100	0.0000000000	0.0000000000	0.0005613306	0.0122237930	0.0000000000	0.0000000000	0.0000000000	0.0122237930
MEX	Mexico	0.0000190986	0.0000132570	0.0000033520	0.0000144751	0.0000779149	0.0009096886	0.0000000000	0.0000000000	0.0000000000	0.0009096886
MDA	Moldova	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0027460685	0.0027460685
MAR	Morocco	0.0000160936	0.0000249467	0.0000299740	0.0001501545	0.0003962700	0.0016667536	0.0020364887	0.0007490966	0.0000000000	0.0044523390
MOZ	Mozambique	0.0000401152	0.0000022664	0.0000018584	0.0000062553	0.0000590170	0.0010556676	0.0020470349	0.0000000000	0.0000000000	0.0031027025
MMR	Myanmar	0.0000000562	0.0000000000	0.0000000000	0.0000000000	0.0000000562	0.0000014496	0.0000000000	0.0000000000	0.0000000000	0.0000014496
NAM	Namibia	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0152741851	0.0000000000	0.0000000000	0.0152741851
NLD	Netherlands	0.0000067287	0.0000170622	0.0000167618	0.0000362872	0.0001301892	0.0006248699	0.0000021628	0.0000000000	0.0066194052	0.0072464380
NZL	"New Zealand"	0.0000122287	0.0000002352	0.0000000000	0.0000000000	0.0000126991	0.0002655236	0.0000000000	0.0000000000	0.0000000000	0.0002655236
