"locode"	"lon"	"lat"
"PAMPT"	77.9773	9.1906
"PAPTY"	79.5345	8.9707
"PECLL"	77.1350	12.0700
"PEPAI"	81.1200	5.0900
"PESJA"	75.1715	15.3498
"PFPPT"	149.5627	17.5333
"PGKIM"	150.1530	5.5563
"PGLAE"	147.0012	-6.7326
"PGMAG"	145.8088	5.2129
"PGPOM"	147.1498	9.4791
"PHCEB"	123.8981	10.3219
"PHCGY"	124.6853	8.4508
"PHDVO"	125.6280	7.1120
"PHGES"	125.1702	6.1124
"PHMNL"	120.9803	14.6061
"PHMSY"	121.0578	13.7561
"PKBQM"	67.3352	24.7855
"PKKHI"	67.0318	24.8742
"PLGDN"	18.6543	54.3482
"PLGDY"	18.5412	54.5165
"PRGUY"	-66.7918	18.0191
"PRSJU"	66.0755	18.4464
"PTAVE"	8.6537	40.6412
"PTLEI"	8.6846	41.1903
"PTLIS"	9.1394	38.7138
"PTSET"	8.8933	38.5245
"PTSIN"	8.8773	37.9540
"PYASU"	57.6435	25.2945
"QADOH"	51.5268	25.2853
"QAFLF"	51.5332	25.8977
"REPDG"	55.2871	20.9358
"RERUN"	55.2796	20.9334
"ROCND"	28.6322	44.1719
"ROGAT"	28.0551	45.4337
"ROGRG"	25.9648	43.8961
"RUAZO"	39.4187	47.1039
"RUKGD"	20.4575	54.7025
"RUKOR"	142.7810	46.6328
"RUKZP"	36.6740	45.3406
"RULED"	30.3154	59.9394
"RUMMK"	33.0750	68.9707
"RUNVS"	37.7900	44.7278
"RUPRI"	28.6167	60.3667
"RUROV"	39.7132	47.2139
"RUSOC"	39.7231	43.5855
"RUTAG"	38.9260	47.2324
"RUTUA"	39.0721	44.0986
"RUULU"	28.2767	59.6516
"RUVVO"	131.8931	43.1175
"RUVYP"	132.9249	42.8273
"SADMN"	50.1571	26.4740
"SAGIZ"	42.5569	16.8992
"SAJED"	39.1640	21.5822
"SAJUB"	49.6904	27.0294
"SARUH"	46.7149	24.6320
"SCPOV"	55.4500	4.6166
"SDJUM"	30.9781	29.8631
"SDPZU"	28.0281	26.1681
"SE001"	16.5505	57.0975
"SEGOT"	11.9670	57.7072
"SEHUS"	19.1619	63.3334
"SEKAN"	14.8646	56.1704
"SENRK"	16.1905	58.5910
"SESOE"	17.6282	59.1971
"SEVAG"	12.2503	57.1057
"SGSIN"	103.8539	1.2950
"SIKOP"	13.7305	45.5480
"SLFNA"	13.2654	8.4804
"SNDKR"	17.4751	14.7178
"SOBBO"	31.5800	4.8300
"SOMGQ"	45.3396	2.0455
"SRPBM"	55.1670	5.8350
"STTMS"	13.2362	8.4720
"SVAQJ"	89.8278	13.5934
"SVLLD"	89.3170	13.4864
"SVSAL"	89.1930	13.6978
"SYLTK"	35.7781	35.5200
"SYTTS"	35.8852	34.8936
"TGLFW"	1.2208	6.1339
"THBKK"	100.5147	13.7519
"THHKT"	98.3911	7.8883
"THKKC"	102.8448	16.4346
"THKTY"	100.6313	13.7524
"THLKR"	100.7486	13.7275
"THLMC"	100.9152	13.0971
"THSGZ"	100.5981	7.1979
"THTPT"	100.5564	13.6529
"TNBIZ"	9.8801	37.2744
"TNLGN"	10.3033	36.8092
"TNLSK"	10.1654	34.3343
"TNRDS"	10.2834	36.7779
"TNSFA"	10.7601	34.7398
"TNSUS"	10.6350	35.8241
"TNTUN"	10.1797	36.8028
"TNZAR"	33.5016	11.1131
"TOTBU"	175.1916	21.1392
"TR003"	35.8171	37.0283
"TR006"	26.9304	38.7641
"TR888"	32.8405	39.9358
"TRALI"	26.9742	38.7994
"TRAMB"	28.7083	40.9775
"TRAYT"	30.6937	36.9009
"TRDIK"	26.8880	39.0721
"TRDIR"	29.5235	40.7696
"TRDRC"	29.8300	40.7569
"TRERE"	31.4215	41.2797
"TREVY"	29.7113	40.7757
"TREYP"	29.9369	40.7567
"TRFET"	29.1163	36.6214
"TRGBZ"	29.4318	40.8007
"TRGEM"	29.1571	40.4302
"TRHAY"	29.0193	40.9966
"TRISK"	36.1748	36.5781
"TRIST"	28.9652	41.0096
"TRIZM"	27.1445	38.4153
"TRIZT"	29.9298	40.7647
"TRLMA"	26.9284	38.7579
"TRMER"	34.6305	36.8128
"TRMRA"	27.5558	40.5877
"TRMRM"	28.2724	36.8542
"TRSSX"	36.3278	41.2898
"TRTEK"	27.5163	40.9812
"TRYPO"	29.5340	40.7743
"TTPOS"	61.5181	10.6572
"TTPTS"	-61.4801	10.3983
"TWKEL"	121.7333	25.1333
"TWKHH"	120.2666	22.6333
"TWTAO"	120.7600	23.1591
"TWTPE"	121.5637	25.0375
"TWTXG"	120.6817	24.1521
"TWTYN"	121.3111	24.9889
"TZDAR"	25.5981	33.9681
"TZTGT"	28.2275	25.7050
"TZZNZ"	25.6939	33.8040
"UA012"	31.1029	46.6238
"UADNB"	46.7677	31.9468
"UAERD"	36.7898	46.7607
"UAILK"	30.6561	46.3016
"UAKAV"	36.6754	45.3397
"UAKEH"	36.4546	45.3544
"UAKHE"	32.6131	46.6551
"UANIK"	32.0027	46.9705
"UAODS"	30.7296	46.4713
"UASVP"	33.5224	44.6115
"UAZHD"	37.5500	47.0958
"UNKNW"	0.0000	0.0000
